# K(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-1.21700000e+00	8.33681122e-02	3.84440107e-03	2.08452556e-03
-1.11500000e+00	7.98391944e-02	5.34497964e-03	2.95861719e-03
-1.00900000e+00	8.40380825e-02	6.58047054e-03	3.21844288e-03
-9.03000000e-01	8.17133808e-02	5.23574327e-03	2.16158269e-03
-8.04000000e-01	8.50006592e-02	4.02896030e-03	2.34722172e-03
-6.98000000e-01	8.58978800e-02	3.16353826e-03	1.71808586e-03
-6.06000000e-01	8.28676663e-02	3.34590042e-03	2.00530028e-03
-4.99000000e-01	8.49937255e-02	4.01932516e-03	2.86199580e-03
-4.00000000e-01	8.59377860e-02	3.05172472e-03	2.07804798e-03
-2.99000000e-01	8.64000766e-02	2.51837684e-03	1.73211069e-03
-1.96000000e-01	8.47659039e-02	2.42576147e-03	1.97515285e-03
-1.03000000e-01	8.03145116e-02	5.50768788e-03	5.39753963e-03
2.00000000e-03	7.41127808e-02	5.42171041e-03	5.33172629e-03
9.60000000e-02	7.86496575e-02	5.50797519e-03	5.38970021e-03
2.00000000e-01	8.37851488e-02	5.96439435e-03	5.77113751e-03
2.92000000e-01	8.68823798e-02	3.04543766e-03	2.38146006e-03
3.94000000e-01	8.59689094e-02	3.70128979e-03	2.85711226e-03
4.93000000e-01	8.66674391e-02	3.76366814e-03	2.66506618e-03
5.89000000e-01	8.48009306e-02	4.06433521e-03	2.87613326e-03
6.92000000e-01	9.06795344e-02	4.41189112e-03	3.30216093e-03
7.89000000e-01	8.39513843e-02	4.50736555e-03	3.15666893e-03
8.80000000e-01	8.66190936e-02	4.96444936e-03	2.68952272e-03
9.81000000e-01	8.74677509e-02	6.25615975e-03	2.57643884e-03
1.07100000e+00	8.68592208e-02	6.13705113e-03	3.25327199e-03
1.17200000e+00	7.97537490e-02	5.15628005e-03	3.37594177e-03
