# K(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-1.21700000e+00	8.13632454e-02	3.95261352e-03	2.30675822e-03
-1.11500000e+00	7.42701540e-02	5.05421466e-03	2.50265936e-03
-1.00900000e+00	7.94643610e-02	6.09061286e-03	2.39584336e-03
-9.03000000e-01	7.99253687e-02	5.27276558e-03	2.27068833e-03
-8.04000000e-01	8.43965285e-02	3.94065771e-03	2.27107651e-03
-6.98000000e-01	8.44107162e-02	3.29712773e-03	1.98716063e-03
-6.06000000e-01	8.04419200e-02	3.65319099e-03	2.58100763e-03
-4.99000000e-01	8.40968472e-02	4.52900844e-03	3.83139371e-03
-4.00000000e-01	8.35219221e-02	3.38048247e-03	2.61003563e-03
-2.99000000e-01	8.51845357e-02	2.78746954e-03	2.14439506e-03
-1.96000000e-01	8.04120546e-02	2.47598543e-03	2.07390093e-03
-1.03000000e-01	7.63462491e-02	5.52737156e-03	5.43538170e-03
2.00000000e-03	7.15659849e-02	5.41115852e-03	5.33907002e-03
9.60000000e-02	7.43608493e-02	5.52076195e-03	5.43090574e-03
2.00000000e-01	8.13239501e-02	6.14725075e-03	5.99005108e-03
2.92000000e-01	8.35428637e-02	3.58483408e-03	3.12325558e-03
3.94000000e-01	8.49865370e-02	4.27195344e-03	3.70683163e-03
4.93000000e-01	8.50885785e-02	4.26429059e-03	3.52529208e-03
5.89000000e-01	8.00850470e-02	4.79099203e-03	4.04552453e-03
6.92000000e-01	8.72070885e-02	5.04199654e-03	4.30284600e-03
7.89000000e-01	8.12996180e-02	4.98574118e-03	3.99345497e-03
8.80000000e-01	8.50889367e-02	5.06788622e-03	2.92130018e-03
9.81000000e-01	8.72280323e-02	6.19146009e-03	2.42225833e-03
1.07100000e+00	8.30767127e-02	5.55731384e-03	2.82533768e-03
1.17200000e+00	8.18504990e-02	5.63361930e-03	4.28909174e-03
