# K(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-1.21700000e+00	1.48222250e+00	3.53548681e-03	1.48255199e-03
-1.11500000e+00	1.48061000e+00	4.49166841e-03	9.48488556e-04
-1.00900000e+00	1.48300808e+00	5.76582692e-03	1.43881023e-03
-9.03000000e-01	1.48240864e+00	5.03103512e-03	1.62759902e-03
-8.04000000e-01	1.48439722e+00	3.59980981e-03	1.61230975e-03
-6.98000000e-01	1.48489518e+00	2.96611579e-03	1.37752392e-03
-6.06000000e-01	1.48744018e+00	2.80461972e-03	1.08656298e-03
-4.99000000e-01	1.48608014e+00	2.63858176e-03	1.05782186e-03
-4.00000000e-01	1.48454716e+00	2.38581563e-03	1.03804775e-03
-2.99000000e-01	1.48169444e+00	2.03558969e-03	9.83004203e-04
-1.96000000e-01	1.47969705e+00	1.78076039e-03	1.16803148e-03
-1.03000000e-01	1.47777916e+00	5.13641198e-03	5.03771665e-03
2.00000000e-03	1.47452533e+00	5.10521022e-03	5.02916001e-03
9.60000000e-02	1.47506481e+00	5.13052764e-03	5.03372874e-03
2.00000000e-01	1.47933881e+00	5.24847987e-03	5.07071658e-03
2.92000000e-01	1.48222556e+00	2.24065046e-03	1.38639339e-03
3.94000000e-01	1.47979741e+00	2.49232527e-03	1.31345131e-03
4.93000000e-01	1.48488388e+00	2.65885580e-03	1.14798846e-03
5.89000000e-01	1.48426453e+00	2.87386333e-03	1.30400737e-03
6.92000000e-01	1.48428011e+00	2.95154989e-03	1.34440582e-03
7.89000000e-01	1.48304532e+00	3.39930605e-03	1.66247966e-03
8.80000000e-01	1.48499273e+00	4.59733330e-03	1.98492165e-03
9.81000000e-01	1.48450662e+00	5.99861409e-03	1.90247567e-03
1.07100000e+00	1.48294505e+00	4.95778759e-03	1.40199500e-03
1.17200000e+00	1.48017068e+00	4.08569223e-03	1.81120941e-03
