# K(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-1.21700000e+00	1.48245974e+00	3.53320325e-03	1.47708706e-03
-1.11500000e+00	1.48091711e+00	4.48960434e-03	9.36259173e-04
-1.00900000e+00	1.48310871e+00	5.75912550e-03	1.34911750e-03
-9.03000000e-01	1.48287938e+00	5.01702090e-03	1.58962064e-03
-8.04000000e-01	1.48477779e+00	3.59772628e-03	1.60788395e-03
-6.98000000e-01	1.48507893e+00	2.95814944e-03	1.36106848e-03
-6.06000000e-01	1.48755580e+00	2.79862813e-03	1.07215182e-03
-4.99000000e-01	1.48576722e+00	2.62230625e-03	1.02334862e-03
-4.00000000e-01	1.48455579e+00	2.36194858e-03	9.86533085e-04
-2.99000000e-01	1.48149712e+00	2.03750721e-03	9.91132670e-04
-1.96000000e-01	1.47990405e+00	1.68873957e-03	1.01163822e-03
-1.03000000e-01	1.47837956e+00	5.13843675e-03	5.03980647e-03
2.00000000e-03	1.47562079e+00	5.10394170e-03	5.02790411e-03
9.60000000e-02	1.47516470e+00	5.13006818e-03	5.03389489e-03
2.00000000e-01	1.47943886e+00	5.25167022e-03	5.06839517e-03
2.92000000e-01	1.48230619e+00	2.18051097e-03	1.29078534e-03
3.94000000e-01	1.47953673e+00	2.46655223e-03	1.27090590e-03
4.93000000e-01	1.48478368e+00	2.65176500e-03	1.13616524e-03
5.89000000e-01	1.48447577e+00	2.85277425e-03	1.26204763e-03
6.92000000e-01	1.48462082e+00	2.95117621e-03	1.34615734e-03
7.89000000e-01	1.48337230e+00	3.39803480e-03	1.63974307e-03
8.80000000e-01	1.48546623e+00	4.58395834e-03	1.96110763e-03
9.81000000e-01	1.48492748e+00	5.97872540e-03	1.83711769e-03
1.07100000e+00	1.48261954e+00	4.98655578e-03	1.39555154e-03
1.17200000e+00	1.47874777e+00	4.12692904e-03	1.92810976e-03
