# K(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-1.21700000e+00	5.04537583e+00	1.24133741e+00	1.24133741e+00
-1.11500000e+00	3.08994323e-06	4.01431139e+00	4.01431139e+00
-1.00900000e+00	5.07548381e-09	6.13124787e+00	6.13124787e+00
-9.03000000e-01	8.66949750e-07	3.61385950e+00	3.61385950e+00
-8.04000000e-01	7.99351536e+00	1.37531436e+00	1.37531436e+00
-6.98000000e-01	8.91933086e+00	9.40862008e-01	9.40862008e-01
-6.06000000e-01	3.82950338e+00	9.76013631e-01	9.76013631e-01
-4.99000000e-01	5.12817026e+00	7.10907241e-01	7.10907241e-01
-4.00000000e-01	7.13977297e+00	7.06381835e-01	7.06381835e-01
-2.99000000e-01	6.40165308e+00	9.35671835e-01	9.35671835e-01
-1.96000000e-01	5.58737805e+00	1.81183970e+00	1.81183970e+00
-1.03000000e-01	1.22549122e-07	4.93388688e+00	4.93388688e+00
2.00000000e-03	5.97106808e-11	1.26229553e+00	1.26229553e+00
9.60000000e-02	4.18043444e-09	5.91584331e+00	5.91584331e+00
2.00000000e-01	1.04938748e+01	2.54535759e+00	2.54535759e+00
2.92000000e-01	9.41495649e+00	1.46617607e+00	1.46617607e+00
3.94000000e-01	7.53995150e+00	9.82954767e-01	9.82954767e-01
4.93000000e-01	6.97173234e+00	7.82055487e-01	7.82055487e-01
5.89000000e-01	9.56265518e+00	1.01855996e+00	1.01855996e+00
6.92000000e-01	7.16702412e+00	1.37926516e+00	1.37926516e+00
7.89000000e-01	1.22741045e+01	2.55136748e+00	2.55136748e+00
8.80000000e-01	2.13613083e+01	3.14127135e+00	3.14127135e+00
9.81000000e-01	1.19874565e+01	4.72387813e+00	4.72387813e+00
1.07100000e+00	1.68947254e-07	6.99287838e+00	6.99287838e+00
1.17200000e+00	1.20221474e+01	4.10481562e+00	4.10481562e+00
