# K(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-1.21700000e+00	2.87724908e+01	1.78301762e+00	1.78301762e+00
-1.11500000e+00	4.26855742e+01	6.47545240e+00	6.47545240e+00
-1.00900000e+00	5.56296810e+01	3.20761637e+00	3.20761637e+00
-9.03000000e-01	4.58940125e+01	3.74308560e+00	3.74308560e+00
-8.04000000e-01	3.46111749e+01	1.61983988e+00	1.61983988e+00
-6.98000000e-01	2.73956276e+01	1.30607532e+00	1.30607532e+00
-6.06000000e-01	2.70981036e+01	1.58763920e+00	1.58763920e+00
-4.99000000e-01	2.01887407e+01	1.12965363e+00	1.12965363e+00
-4.00000000e-01	1.23568311e+01	9.97263089e-01	9.97263089e-01
-2.99000000e-01	1.08242700e+01	1.22394765e+00	1.22394765e+00
-1.96000000e-01	1.02949473e+01	2.25308802e+00	2.25308802e+00
-1.03000000e-01	1.52387699e+01	5.99896759e+00	5.99896759e+00
2.00000000e-03	1.02322687e+01	8.57697229e-01	8.57697229e-01
9.60000000e-02	1.34210472e+01	4.62328758e+00	4.62328758e+00
2.00000000e-01	9.03169333e+00	3.00446657e+00	3.00446657e+00
2.92000000e-01	1.02434175e+01	1.71671601e+00	1.71671601e+00
3.94000000e-01	1.21418082e+01	1.67827144e+00	1.67827144e+00
4.93000000e-01	2.16095687e+01	1.15650433e+00	1.15650433e+00
5.89000000e-01	2.38335456e+01	1.71965973e+00	1.71965973e+00
6.92000000e-01	3.92773754e+01	2.04563371e+00	2.04563371e+00
7.89000000e-01	3.99960881e+01	3.95933080e+00	3.95933080e+00
8.80000000e-01	5.28730234e+01	3.25190518e+00	3.25190518e+00
9.81000000e-01	6.68650894e+01	3.62525701e+00	3.62525701e+00
1.07100000e+00	7.04305803e+01	5.38896473e+00	5.38896473e+00
1.17200000e+00	3.15592758e+01	8.38998002e+00	8.38998002e+00
