# H(r.l.u.)	Center(meV)	Stderr(meV)
-1.22419747e+00	5.21830351e+01	1.25151654e+00
-1.12144697e+00	5.69911581e+01	1.71355131e+00
-1.01459939e+00	6.62506892e+01	1.83936515e+00
-9.07882200e-01	5.83252875e+01	1.52970920e+00
-8.08407096e-01	5.94610505e+01	1.47605555e+00
-7.01488501e-01	4.86863822e+01	2.17919117e+00
-6.09159076e-01	4.94652863e+01	1.86892264e+00
-5.02191561e-01	4.46767740e+01	4.07766651e+00
-4.02629173e-01	4.63101438e+01	1.45840973e+00
-3.00584441e-01	5.19617202e+01	2.34914025e+00
-1.96686507e-01	6.11853396e+01	1.92385258e+00
-1.03294666e-01	7.09862710e+01	1.63983641e+00
2.34991391e-03	7.27645047e+01	1.22372586e+00
9.62643145e-02	7.18337179e+01	1.45075087e+00
2.01334711e-01	5.91694947e+01	3.96748048e+00
2.93708534e-01	5.29807575e+01	1.73749686e+00
3.95896533e-01	5.31187236e+01	3.28134887e+00
4.95643698e-01	4.87491284e+01	2.17472085e+00
5.92335055e-01	4.31082738e+01	2.86510293e+00
6.95461597e-01	5.61533430e+01	3.10843487e+00
7.93295256e-01	5.28681498e+01	4.46909098e+00
8.85091460e-01	6.07811671e+01	2.36404125e+00
9.86297351e-01	6.85002401e+01	2.07227789e+00
1.07669716e+00	6.15049822e+01	2.78777978e+00
1.17872734e+00	4.85946631e+01	3.41685485e+00
