# K(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-1.21700000e+00	6.56364067e+00	1.22178974e+00	1.22178974e+00
-1.11500000e+00	6.58927528e+00	4.04526840e+00	4.04526840e+00
-1.00900000e+00	4.45264778e+00	9.65590434e+00	9.65590434e+00
-9.03000000e-01	5.21924736e+00	2.36911947e+00	2.36911947e+00
-8.04000000e-01	7.57946254e+00	1.69026146e+00	1.69026146e+00
-6.98000000e-01	6.40201655e+00	7.95881189e-01	7.95881189e-01
-6.06000000e-01	3.44245935e+00	5.55299678e-01	5.55299678e-01
-4.99000000e-01	5.02781118e+00	6.30734634e-01	6.30734634e-01
-4.00000000e-01	6.02451430e+00	6.81094823e-01	6.81094823e-01
-2.99000000e-01	6.67486367e+00	8.61092688e-01	8.61092688e-01
-1.96000000e-01	8.25072702e+00	1.63810276e+00	1.63810276e+00
-1.03000000e-01	1.42214853e+01	1.76926609e+00	1.76926609e+00
2.00000000e-03	1.43612758e+01	3.21694255e+00	3.21694255e+00
9.60000000e-02	1.40796354e+01	1.86776911e+00	1.86776911e+00
2.00000000e-01	1.29324255e+01	1.66509945e+00	1.66509945e+00
2.92000000e-01	8.78886679e+00	1.51373395e+00	1.51373395e+00
3.94000000e-01	9.17903199e+00	1.08599584e+00	1.08599584e+00
4.93000000e-01	6.90924106e+00	7.69182009e-01	7.69182009e-01
5.89000000e-01	7.39761377e+00	9.91118285e-01	9.91118285e-01
6.92000000e-01	7.11979682e+00	1.42516149e+00	1.42516149e+00
7.89000000e-01	8.56386833e+00	2.19026510e+00	2.19026510e+00
8.80000000e-01	6.88222110e+00	3.26705281e+00	3.26705281e+00
9.81000000e-01	5.43136110e+00	6.46885759e+00	6.46885759e+00
1.07100000e+00	2.82897719e+00	1.32211043e+01	1.32211043e+01
1.17200000e+00	1.73930508e+01	3.44284446e+00	3.44284446e+00
