# H(r.l.u.)	Center(meV)	Stderr(meV)
-1.22419747e+00	1.45041273e+03	3.35949782e-01
-1.12144697e+00	1.45889185e+03	4.80059155e-01
-1.01459939e+00	1.46592221e+03	5.88928061e-01
-9.07882200e-01	1.46171654e+03	4.59521696e-01
-8.08407096e-01	1.45768842e+03	7.05378769e-01
-7.01488501e-01	1.45097395e+03	7.86494892e-01
-6.09159076e-01	1.44736616e+03	5.46659321e-01
-5.02191561e-01	1.44364347e+03	5.54913291e-01
-4.02629173e-01	1.44581110e+03	5.96731028e-01
-3.00584441e-01	1.44802199e+03	4.17267644e-01
-1.96686507e-01	1.45444594e+03	5.12923151e-01
-1.03294666e-01	1.46651547e+03	5.46339351e-01
2.34991391e-03	1.46958155e+03	4.63685614e-01
9.62643145e-02	1.46530711e+03	5.36287971e-01
2.01334711e-01	1.45620992e+03	6.81341532e-01
2.93708534e-01	1.44798374e+03	6.61323226e-01
3.95896533e-01	1.44161459e+03	7.99838769e-01
4.95643698e-01	1.44350269e+03	6.24419015e-01
5.92335055e-01	1.44519021e+03	7.77982493e-01
6.95461597e-01	1.44966291e+03	6.82632420e-01
7.93295256e-01	1.45630768e+03	9.27990802e-01
8.85091460e-01	1.46318271e+03	1.02157407e+00
9.86297351e-01	1.46853240e+03	1.02629638e+00
1.07669716e+00	1.46385046e+03	8.12732741e-01
1.17872734e+00	1.45443699e+03	9.65216710e-01
