# K(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-1.21700000e+00	3.07766375e+01	1.59938331e+00	1.59938331e+00
-1.11500000e+00	4.73819143e+01	3.56277202e+00	3.56277202e+00
-1.00900000e+00	5.49925206e+01	5.63043004e+00	5.63043004e+00
-9.03000000e-01	4.59432404e+01	9.97363607e-01	9.97363607e-01
-8.04000000e-01	3.47236753e+01	1.68851731e+00	1.68851731e+00
-6.98000000e-01	3.02971366e+01	6.45549068e-01	6.45549068e-01
-6.06000000e-01	2.36830427e+01	7.35271579e-01	7.35271579e-01
-4.99000000e-01	1.77615811e+01	1.44153779e+00	1.44153779e+00
-4.00000000e-01	1.40260562e+01	5.82827410e-01	5.82827410e-01
-2.99000000e-01	1.29441742e+01	4.81352439e-01	4.81352439e-01
-1.96000000e-01	1.17614557e+01	5.51536435e-01	5.51536435e-01
-1.03000000e-01	7.55499829e+00	7.60418951e-01	7.60418951e-01
2.00000000e-03	7.95648747e+00	1.10656873e+00	1.10656873e+00
9.60000000e-02	8.20352707e+00	7.98352195e-01	7.98352195e-01
2.00000000e-01	1.10855677e+01	9.93059251e-01	9.93059251e-01
2.92000000e-01	1.28388264e+01	7.49805867e-01	7.49805867e-01
3.94000000e-01	1.61026958e+01	1.48864774e+00	1.48864774e+00
4.93000000e-01	2.07269804e+01	1.42906140e+00	1.42906140e+00
5.89000000e-01	2.80451886e+01	1.09254469e+00	1.09254469e+00
6.92000000e-01	3.91768730e+01	2.16890422e+00	2.16890422e+00
7.89000000e-01	4.98733980e+01	1.39417615e+00	1.39417615e+00
8.80000000e-01	6.58338410e+01	1.54156091e+00	1.54156091e+00
9.81000000e-01	7.12661812e+01	2.50549577e+00	2.50549577e+00
1.07100000e+00	7.14526425e+01	8.21872023e+00	8.21872023e+00
1.17200000e+00	4.24975356e+01	1.59935481e+00	1.59935481e+00
