# T(K)	Center(meV)	Stderr(meV)
4.00000000e+01	7.28064145e+01	1.52308215e+00
6.00000000e+01	7.03930384e+01	2.15023504e+00
8.00000000e+01	7.30655425e+01	1.74421107e+00
1.00000000e+02	7.49601898e+01	1.86380031e+00
1.20000000e+02	7.41811511e+01	2.50253897e+00
1.30000000e+02	7.08908398e+01	1.84293863e+00
1.40000000e+02	7.12187911e+01	2.35996317e+00
1.45000000e+02	6.99052270e+01	2.17451636e+00
1.50000000e+02	6.90179026e+01	2.80542797e+00
1.55000000e+02	6.65544661e+01	3.89689986e+00
1.60000000e+02	6.69955436e+01	3.03473000e+00
1.70000000e+02	6.63418243e+01	3.12217488e+00
1.90000000e+02	6.47831565e+01	2.60096712e+00
