# T(K)	FWHM(meV)	Stderr(meV)
4.00000000e+01	4.54150226e+01	4.73874685e+00
6.00000000e+01	5.34676053e+01	7.26141515e+00
8.00000000e+01	3.74117207e+01	5.10046122e+00
1.00000000e+02	4.73039421e+01	5.72736810e+00
1.20000000e+02	5.39406714e+01	7.58136967e+00
1.30000000e+02	6.65098921e+01	6.28912404e+00
1.40000000e+02	5.44455496e+01	7.51071754e+00
1.45000000e+02	5.54917368e+01	7.03197611e+00
1.50000000e+02	4.90129544e+01	8.24593351e+00
1.55000000e+02	9.29491240e+01	1.43002014e+01
1.60000000e+02	7.51957860e+01	1.06133259e+01
1.70000000e+02	7.22611762e+01	1.04137245e+01
1.90000000e+02	7.14336736e+01	8.74166867e+00
