# T(K)	Center(meV)	Stderr(meV)
4.00000000e+01	1.46739782e+03	9.45233804e-01
6.00000000e+01	1.46799147e+03	9.88621132e-01
8.00000000e+01	1.46910940e+03	1.02821278e+00
1.00000000e+02	1.46822086e+03	1.19869954e+00
1.20000000e+02	1.46674512e+03	1.50227053e+00
1.30000000e+02	1.46854975e+03	1.62350232e+00
1.40000000e+02	1.46892632e+03	1.88727493e+00
1.45000000e+02	1.46549436e+03	1.80081967e+00
1.50000000e+02	1.46892391e+03	1.74330181e+00
1.55000000e+02	1.46710216e+03	1.85256971e+00
1.60000000e+02	1.46694620e+03	1.99215593e+00
1.70000000e+02	1.46405166e+03	2.11494173e+00
1.90000000e+02	1.45942542e+03	2.33945286e+00
