# T(K)	FWHM(meV)	Stderr(meV)
4.00000000e+01	3.72433701e+01	1.72609988e+00
6.00000000e+01	3.54702375e+01	1.68764424e+00
8.00000000e+01	3.56902702e+01	1.88767670e+00
1.00000000e+02	3.81692051e+01	2.21476919e+00
1.20000000e+02	4.12530828e+01	3.06184975e+00
1.30000000e+02	4.31269097e+01	3.50326594e+00
1.40000000e+02	4.54307192e+01	4.20943975e+00
1.45000000e+02	4.75673577e+01	4.14055204e+00
1.50000000e+02	4.45323015e+01	3.87264027e+00
1.55000000e+02	4.67519701e+01	4.20983059e+00
1.60000000e+02	4.81942618e+01	4.57450388e+00
1.70000000e+02	4.84321609e+01	4.79718318e+00
1.90000000e+02	5.48206304e+01	5.49258241e+00
