# E(eV)	Amplitude(a.u.)	Stderr_low(a.u.)	Stderr_high(a.u.)
8.47000000e+02	9.07547399e-02	6.67053580e-02	6.67053580e-02
8.48000000e+02	8.04562330e-01	1.37550885e-01	1.37550885e-01
8.49000000e+02	1.83387465e+00	1.75020503e-01	1.75020503e-01
8.50000000e+02	4.36600161e+00	2.57635428e-01	2.57635428e-01
8.50500000e+02	6.61233680e+00	4.34762143e-01	4.34762143e-01
8.50800000e+02	8.51045161e+00	4.78187286e-01	4.78187286e-01
8.51100000e+02	1.28675345e+01	5.26669255e-01	5.26669255e-01
8.51400000e+02	1.85212376e+01	6.78208117e-01	6.78208117e-01
8.51600000e+02	2.35009217e+01	7.19207531e-01	7.19207531e-01
8.51800000e+02	2.94245106e+01	8.03243697e-01	8.03243697e-01
8.52000000e+02	3.39022805e+01	1.08841623e+00	1.08841623e+00
8.52200000e+02	4.47537392e+01	1.09835803e+00	1.09835803e+00
8.52400000e+02	5.13230196e+01	1.12191967e+00	1.12191967e+00
8.52600000e+02	6.20261962e+01	1.30744693e+00	1.30744693e+00
8.52800000e+02	7.87991832e+01	1.54462615e+00	1.54462615e+00
8.53000000e+02	8.63272178e+01	1.72627106e+00	1.72627106e+00
8.53200000e+02	6.54928803e+01	1.53776321e+00	1.53776321e+00
8.53400000e+02	3.90409647e+01	9.66804595e-01	9.66804595e-01
8.53600000e+02	2.58536990e+01	7.85449486e-01	7.85449486e-01
8.53800000e+02	1.44773723e+01	5.76534800e-01	5.76534800e-01
8.54000000e+02	1.13157779e+01	4.76919141e-01	4.76919141e-01
8.54200000e+02	1.01485815e+01	3.57344699e-01	3.57344699e-01
8.54400000e+02	8.93883297e+00	4.69977431e-01	4.69977431e-01
8.54600000e+02	7.61431380e+00	3.80512293e-01	3.80512293e-01
8.54800000e+02	5.98524129e+00	3.81426239e-01	3.81426239e-01
8.55000000e+02	4.92101442e+00	3.50050613e-01	3.50050613e-01
8.55200000e+02	4.72044105e+00	0.00000000e+00	0.00000000e+00
8.55400000e+02	4.31605957e+00	3.50890722e-01	3.50890722e-01
8.55600000e+02	4.53445034e+00	3.02269187e-01	3.02269187e-01
8.55800000e+02	4.95137878e+00	3.16223949e-01	3.16223949e-01
8.56000000e+02	4.51845418e+00	3.05022897e-01	3.05022897e-01
8.56200000e+02	4.63993863e+00	2.50716572e-01	2.50716572e-01
8.56500000e+02	4.23775766e+00	3.34530546e-01	3.34530546e-01
8.56800000e+02	4.42074977e+00	2.83589435e-01	2.83589435e-01
8.57100000e+02	4.81626031e+00	3.25258375e-01	3.25258375e-01
8.57400000e+02	3.73650877e+00	2.44239762e-01	2.44239762e-01
8.57700000e+02	2.88993378e+00	2.72558902e-01	2.72558902e-01
8.58000000e+02	1.25252262e+00	1.74293711e-01	1.74293711e-01
8.59000000e+02	1.13802029e+00	1.32951506e-01	1.32951506e-01
