# E(eV)	Amplitude(a.u.)	Stderr(a.u.)
8.47000000e+02	2.25978431e-02	6.72181738e-02
8.48000000e+02	2.39528139e-01	1.52577468e-01
8.49000000e+02	9.42250423e-01	2.46086901e-01
8.50000000e+02	8.62154220e-01	2.64571045e-01
8.50500000e+02	2.16188962e+00	4.36043802e-01
8.50800000e+02	2.24441639e+00	5.15780227e-01
8.51100000e+02	4.85312005e+00	6.68143550e-01
8.51400000e+02	5.42388692e+00	7.40921626e-01
8.51600000e+02	7.95906097e+00	8.17413536e-01
8.51800000e+02	1.00028844e+01	9.81444390e-01
8.52000000e+02	1.37110803e+01	1.25189957e+00
8.52200000e+02	1.87754882e+01	1.31694085e+00
8.52400000e+02	2.60726942e+01	1.44875238e+00
8.52600000e+02	4.95685603e+01	1.88402178e+00
8.52800000e+02	6.26141098e+01	2.02244118e+00
8.53000000e+02	5.54495093e+01	2.19419262e+00
8.53200000e+02	4.27868069e+01	1.99861532e+00
8.53400000e+02	3.17490867e+01	1.53705492e+00
8.53600000e+02	2.06650360e+01	1.13786105e+00
8.53800000e+02	1.01668188e+01	8.22680751e-01
8.54000000e+02	7.06073048e+00	7.23235803e-01
8.54200000e+02	5.31431215e+00	5.64444491e-01
8.54400000e+02	2.32451668e+00	5.62518561e-01
8.54600000e+02	2.18163861e+00	3.79731728e-01
8.54800000e+02	1.51122969e+00	4.31526974e-01
8.55000000e+02	1.99748364e+00	4.49269479e-01
8.55200000e+02	-3.79859093e-01	2.18854924e-01
8.55400000e+02	1.62452163e+00	3.99065122e-01
8.55600000e+02	1.14894922e-01	2.82003312e-01
8.55800000e+02	1.67376464e+00	4.24396203e-01
8.56000000e+02	1.86637731e+00	4.29020418e-01
8.56200000e+02	2.26753849e+00	3.83987760e-01
8.56500000e+02	1.08193926e+00	4.12236348e-01
8.56800000e+02	2.35051034e+00	4.24076149e-01
8.57100000e+02	3.26573762e+00	4.95427903e-01
8.57400000e+02	5.84672071e+00	4.61114378e-01
8.57700000e+02	6.45752415e+00	5.66180961e-01
8.58000000e+02	3.38960316e+00	4.15248327e-01
8.59000000e+02	9.73627254e-01	2.16464935e-01
