# E(eV)	Amplitude(a.u.)	Stderr(a.u.)
8.47000000e+02	3.24291870e+00	3.29912661e-01
8.48000000e+02	6.00999433e+00	4.33220271e-01
8.49000000e+02	9.91509000e+00	5.29146975e-01
8.50000000e+02	1.75855792e+01	6.85038717e-01
8.50500000e+02	2.62596400e+01	1.11234166e+00
8.50800000e+02	3.32639208e+01	1.24264106e+00
8.51100000e+02	4.31124798e+01	1.43739649e+00
8.51400000e+02	6.06278559e+01	1.68665837e+00
8.51600000e+02	7.53209061e+01	1.75943937e+00
8.51800000e+02	9.00068024e+01	2.17321532e+00
8.52000000e+02	1.16106399e+02	2.66946652e+00
8.52200000e+02	1.44191654e+02	2.72389164e+00
8.52400000e+02	1.64784387e+02	2.84187966e+00
8.52600000e+02	2.04546435e+02	3.28743498e+00
8.52800000e+02	2.50737028e+02	3.51797970e+00
8.53000000e+02	2.68259410e+02	4.05567818e+00
8.53200000e+02	2.03630780e+02	3.66029285e+00
8.53400000e+02	1.29186374e+02	2.67975256e+00
8.53600000e+02	7.84501781e+01	1.91805487e+00
8.53800000e+02	5.02111834e+01	1.49806329e+00
8.54000000e+02	3.87620212e+01	1.37685811e+00
8.54200000e+02	2.96637484e+01	1.04209422e+00
8.54400000e+02	2.85215848e+01	1.24777846e+00
8.54600000e+02	2.30204912e+01	7.98658562e-01
8.54800000e+02	1.83403683e+01	9.93014478e-01
8.55000000e+02	1.53553946e+01	9.94296441e-01
8.55200000e+02	1.53744227e+01	9.78986543e-01
8.55400000e+02	1.46962620e+01	9.06500151e-01
8.55600000e+02	1.41036181e+01	8.16383561e-01
8.55800000e+02	1.64874897e+01	8.62585190e-01
8.56000000e+02	1.62688338e+01	8.76319338e-01
8.56200000e+02	1.50574866e+01	7.35866959e-01
8.56500000e+02	1.59599158e+01	9.57528854e-01
8.56800000e+02	1.38898535e+01	7.81935169e-01
8.57100000e+02	1.50374729e+01	9.01737541e-01
8.57400000e+02	1.05843750e+01	5.92763385e-01
8.57700000e+02	8.57221942e+00	6.71363225e-01
8.58000000e+02	3.60364257e+00	4.58377271e-01
8.59000000e+02	3.22474685e+00	3.43035801e-01
