# E(eV)	Amplitude(a.u.)	Stderr_low(a.u.)	Stderr_high(a.u.)
8.47000000e+02	2.01901016e-01	7.74101791e-02	7.74101791e-02
8.48000000e+02	7.61935688e-01	2.30162519e-01	2.30162519e-01
8.49000000e+02	1.70050958e+00	3.03607723e-01	3.03607723e-01
8.50000000e+02	2.86884458e+00	0.00000000e+00	0.00000000e+00
8.50500000e+02	3.39617084e+00	4.95156075e-01	4.95156075e-01
8.50800000e+02	3.20275291e+00	4.85360401e-01	4.85360401e-01
8.51100000e+02	3.74591768e+00	5.36900642e-01	5.36900642e-01
8.51400000e+02	3.85865436e+00	5.99565290e-01	5.99565290e-01
8.51600000e+02	5.99868965e+00	7.56266260e-01	7.56266260e-01
8.51800000e+02	7.64086114e+00	0.00000000e+00	0.00000000e+00
8.52000000e+02	5.89795349e+00	0.00000000e+00	0.00000000e+00
8.52200000e+02	4.97478334e+00	0.00000000e+00	0.00000000e+00
8.52400000e+02	3.25273238e+00	0.00000000e+00	0.00000000e+00
8.52600000e+02	9.30897167e+00	1.10030797e+00	1.10030797e+00
8.52800000e+02	9.70486439e+00	0.00000000e+00	0.00000000e+00
8.53000000e+02	1.24321769e+01	1.40178456e+00	1.40178456e+00
8.53200000e+02	3.11246289e+01	1.31521527e+00	1.31521527e+00
8.53400000e+02	4.33230049e+01	1.67492801e+00	1.67492801e+00
8.53600000e+02	3.87772112e+01	1.61394114e+00	1.61394114e+00
8.53800000e+02	2.07106356e+01	1.09029780e+00	1.09029780e+00
8.54000000e+02	1.00625016e+01	9.98927292e-01	9.98927292e-01
8.54200000e+02	6.90898587e+00	6.62270607e-01	6.62270607e-01
8.54400000e+02	8.25931131e+00	7.67118451e-01	7.67118451e-01
8.54600000e+02	1.06342230e+01	0.00000000e+00	0.00000000e+00
8.54800000e+02	7.55657090e+00	8.01087736e-01	8.01087736e-01
8.55000000e+02	7.28862332e+00	8.62424039e-01	8.62424039e-01
8.55200000e+02	5.77089221e+00	5.41358270e-01	5.41358270e-01
8.55400000e+02	3.07749627e+00	6.38812262e-01	6.38812262e-01
8.55600000e+02	2.60090288e+00	0.00000000e+00	0.00000000e+00
8.55800000e+02	1.07035102e+00	0.00000000e+00	0.00000000e+00
8.56000000e+02	2.54208430e+00	5.14323008e-01	5.14323008e-01
8.56200000e+02	1.92222301e+00	4.25400230e-01	4.25400230e-01
8.56500000e+02	1.70661923e-01	3.69515538e-01	3.69515538e-01
8.56800000e+02	1.40318498e+00	0.00000000e+00	0.00000000e+00
8.57100000e+02	3.52509860e+00	5.32044122e-01	5.32044122e-01
8.57400000e+02	7.37928584e+00	6.99934173e-01	6.99934173e-01
8.57700000e+02	7.82805588e+00	7.30646805e-01	7.30646805e-01
8.58000000e+02	6.44138738e+00	5.43920890e-01	5.43920890e-01
8.59000000e+02	3.05463599e+00	4.61830733e-01	4.61830733e-01
