# H(r.l.u.)	Center(meV)	Stderr(meV)
-6.92391652e-01	1.42631075e+03	1.50726721e+00
-6.28678464e-01	1.42400450e+03	2.08683487e+00
-5.63680675e-01	1.43510647e+03	1.99836717e+00
-4.40148236e-01	1.43201364e+03	1.72698866e+00
-3.76740377e-01	1.43468830e+03	2.21722486e+00
-3.22253689e-01	1.43317961e+03	2.70186724e+00
-2.59397745e-01	1.43295905e+03	2.06359502e+00
-2.01125515e-01	1.45151077e+03	2.10441509e+00
-1.41613280e-01	1.44475682e+03	2.35214366e+00
-8.12279522e-02	1.45985371e+03	2.12311789e+00
-2.71200261e-02	1.46150744e+03	2.71162335e+00
3.38961600e-02	1.46510259e+03	1.97251922e+00
8.79690082e-02	1.46414729e+03	2.73206096e+00
1.48275632e-01	1.44737705e+03	2.54394600e+00
2.01125515e-01	1.44028566e+03	2.38387170e+00
2.59397745e-01	1.44314137e+03	2.24997289e+00
3.16070701e-01	1.43542529e+03	1.85733409e+00
3.70794976e-01	1.43643529e+03	1.87941925e+00
4.28904336e-01	1.43307068e+03	2.49565811e+00
5.34912988e-01	1.42564614e+03	3.68063899e+00
6.40419658e-01	1.42683000e+03	2.39396758e+00
6.95443933e-01	1.42755685e+03	3.58475228e+00
