# H(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-6.89000000e-01	8.12724763e-02	5.42208984e-03	4.26573761e-03
-6.25000000e-01	7.78153431e-02	7.62441262e-03	5.52429308e-03
-5.61000000e-01	8.79062881e-02	4.03788373e-03	2.71281204e-03
-4.97000000e-01	8.17162206e-02	6.63160995e-03	4.93287123e-03
-4.38000000e-01	8.79840120e-02	4.12843904e-03	2.92354788e-03
-3.75000000e-01	8.68668502e-02	3.55810129e-03	2.29025398e-03
-3.20000000e-01	8.77515609e-02	3.73744190e-03	2.78274913e-03
-2.58000000e-01	7.99421139e-02	4.18766061e-03	3.12048069e-03
-2.00000000e-01	8.45083238e-02	3.42585458e-03	2.72939661e-03
-1.41000000e-01	8.76586853e-02	2.25833200e-03	1.74588149e-03
-8.10000000e-02	8.40108849e-02	5.36106930e-03	5.25519842e-03
-2.70000000e-02	8.09371385e-02	5.53804191e-03	5.44843301e-03
3.40000000e-02	8.07495899e-02	5.74282665e-03	5.62237845e-03
8.70000000e-02	8.02224850e-02	5.36491717e-03	5.23815665e-03
1.47000000e-01	8.33672361e-02	3.37776030e-03	2.81480268e-03
2.00000000e-01	7.82812150e-02	8.76258234e-03	5.42178924e-03
2.58000000e-01	8.68846673e-02	4.61671790e-03	3.47813324e-03
3.14000000e-01	9.31920778e-02	4.62690988e-03	3.41794862e-03
3.69000000e-01	8.87887458e-02	4.96772072e-03	3.86123896e-03
4.27000000e-01	8.92600439e-02	4.66408751e-03	3.53133793e-03
4.81000000e-01	9.46670814e-02	4.14744434e-03	3.01141718e-03
5.32000000e-01	8.55537629e-02	4.68347977e-03	3.47975412e-03
5.88000000e-01	8.86032141e-02	5.05001837e-03	3.83659630e-03
6.37000000e-01	8.71372454e-02	5.55471787e-03	4.25215721e-03
6.92000000e-01	8.27635243e-02	5.10198245e-03	3.94943637e-03
