# K(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-6.89000000e-01	7.84379131e-02	5.66483690e-03	5.00206248e-03
-6.25000000e-01	8.20255090e-02	6.76217494e-03	6.12065325e-03
-5.61000000e-01	8.61392761e-02	4.48662536e-03	3.47677456e-03
-4.97000000e-01	8.22329773e-02	5.97182000e-03	5.31178343e-03
-4.38000000e-01	8.65553133e-02	4.45445931e-03	3.60717410e-03
-3.75000000e-01	8.55929894e-02	4.38447756e-03	3.62597063e-03
-3.20000000e-01	8.68340961e-02	4.23118897e-03	3.54301242e-03
-2.58000000e-01	8.02833961e-02	4.48156062e-03	3.97655960e-03
-2.00000000e-01	8.34770775e-02	4.23675735e-03	3.84587927e-03
-1.41000000e-01	8.62649955e-02	2.28712994e-03	1.79758215e-03
-8.10000000e-02	8.21793786e-02	5.37032616e-03	5.26861899e-03
-2.70000000e-02	7.71138410e-02	5.53301933e-03	5.46949021e-03
3.40000000e-02	7.76140477e-02	5.83479967e-03	5.76514984e-03
8.70000000e-02	7.85638720e-02	5.37903599e-03	5.25402104e-03
1.47000000e-01	8.06943412e-02	3.83807447e-03	3.52273057e-03
2.00000000e-01	7.95993092e-02	6.38659428e-03	6.11218904e-03
2.58000000e-01	8.56070710e-02	5.23191354e-03	4.77066984e-03
3.14000000e-01	9.13064576e-02	5.38577013e-03	4.83926032e-03
3.69000000e-01	8.83293997e-02	5.98903317e-03	5.42960389e-03
4.27000000e-01	8.70039467e-02	5.37695468e-03	4.69018759e-03
4.81000000e-01	9.41549349e-02	4.75261546e-03	3.91043938e-03
5.32000000e-01	8.43868447e-02	5.62973549e-03	4.90477187e-03
5.88000000e-01	8.77969528e-02	6.34670803e-03	5.68083304e-03
6.37000000e-01	8.59089441e-02	6.77597730e-03	6.12483255e-03
6.92000000e-01	8.27240031e-02	5.81693130e-03	5.02689704e-03
