# H(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-6.89000000e-01	1.48236310e+00	4.16322063e-03	3.19586267e-03
-6.25000000e-01	1.48347298e+00	3.70965089e-03	2.30379579e-03
-5.61000000e-01	1.48800100e+00	3.26746740e-03	1.62443770e-03
-4.97000000e-01	1.49098226e+00	3.21249267e-03	1.66303281e-03
-4.38000000e-01	1.48982301e+00	2.85764416e-03	1.15611690e-03
-3.75000000e-01	1.48924910e+00	2.73059529e-03	1.17398715e-03
-3.20000000e-01	1.48417254e+00	2.66734835e-03	1.34255610e-03
-2.58000000e-01	1.48741529e+00	2.38413778e-03	1.17565981e-03
-2.00000000e-01	1.48573109e+00	2.23637496e-03	1.36423145e-03
-1.41000000e-01	1.48187014e+00	1.85992125e-03	1.21913839e-03
-8.10000000e-02	1.47767403e+00	5.16104650e-03	5.05618382e-03
-2.70000000e-02	1.47885697e+00	5.10228633e-03	5.03390160e-03
3.40000000e-02	1.47728561e+00	5.11741060e-03	5.03825973e-03
8.70000000e-02	1.47755088e+00	5.18481638e-03	5.05539105e-03
1.47000000e-01	1.48110480e+00	2.14960993e-03	1.50508234e-03
2.00000000e-01	1.48709128e+00	2.45436873e-03	1.50016321e-03
2.58000000e-01	1.48470462e+00	2.47035857e-03	1.21272395e-03
3.14000000e-01	1.48618475e+00	2.74756912e-03	1.39706436e-03
3.69000000e-01	1.48557226e+00	2.98550114e-03	1.59723449e-03
4.27000000e-01	1.48642718e+00	3.05315254e-03	1.55311572e-03
4.81000000e-01	1.48482613e+00	3.21436779e-03	1.74796775e-03
5.32000000e-01	1.48424992e+00	3.39303831e-03	1.97121040e-03
5.88000000e-01	1.48486178e+00	3.65557600e-03	2.31880957e-03
6.37000000e-01	1.48260124e+00	3.82250804e-03	2.47935716e-03
6.92000000e-01	1.48294386e+00	4.27718951e-03	3.09293064e-03
