# K(r.l.u.)	Center(eV)	ConfInt_low(eV)	ConfInt_high(eV)
-6.89000000e-01	1.48208605e+00	4.13755343e-03	3.17208620e-03
-6.25000000e-01	1.48242086e+00	3.64106767e-03	2.23535745e-03
-5.61000000e-01	1.48815263e+00	3.25730830e-03	1.60483420e-03
-4.97000000e-01	1.49037816e+00	3.14275402e-03	1.56207018e-03
-4.38000000e-01	1.48970906e+00	2.88264915e-03	1.13093463e-03
-3.75000000e-01	1.48917622e+00	2.72736518e-03	1.16782774e-03
-3.20000000e-01	1.48437245e+00	2.63606869e-03	1.27582194e-03
-2.58000000e-01	1.48657849e+00	2.35672226e-03	1.13593949e-03
-2.00000000e-01	1.48553325e+00	2.18109990e-03	1.27767307e-03
-1.41000000e-01	1.48215206e+00	1.80071244e-03	1.12201795e-03
-8.10000000e-02	1.47767425e+00	5.15999024e-03	5.05510315e-03
-2.70000000e-02	1.47885717e+00	5.10423672e-03	5.03600194e-03
3.40000000e-02	1.47728566e+00	5.11941792e-03	5.04040293e-03
8.70000000e-02	1.47755119e+00	5.18652004e-03	5.05716662e-03
1.47000000e-01	1.48070444e+00	2.09080008e-03	1.43908216e-03
2.00000000e-01	1.48601092e+00	2.25336681e-03	1.28473284e-03
2.58000000e-01	1.48461526e+00	2.45418457e-03	1.18865842e-03
3.14000000e-01	1.48613873e+00	2.72986720e-03	1.36540680e-03
3.69000000e-01	1.48574994e+00	2.95428974e-03	1.53131099e-03
4.27000000e-01	1.48635080e+00	3.04249685e-03	1.53457372e-03
4.81000000e-01	1.48499462e+00	3.19947753e-03	1.72160454e-03
5.32000000e-01	1.48404452e+00	3.37254054e-03	1.93447719e-03
5.88000000e-01	1.48476468e+00	3.61383390e-03	2.25816141e-03
6.37000000e-01	1.48230325e+00	3.79201936e-03	2.44641853e-03
6.92000000e-01	1.48194824e+00	4.24907176e-03	3.07901961e-03
