# H(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-6.89000000e-01	4.17311549e+00	4.29512247e-01	4.29512247e-01
-6.25000000e-01	5.62762645e+00	5.76690724e-01	5.76690724e-01
-5.61000000e-01	3.66837240e+00	7.26896588e-01	7.26896588e-01
-4.97000000e-01	3.90894819e+00	1.36618124e+00	1.36618124e+00
-4.38000000e-01	3.76560291e+00	1.35905859e+00	1.35905859e+00
-3.75000000e-01	6.03884830e+00	1.19990092e+00	1.19990092e+00
-3.20000000e-01	6.41601584e+00	8.49155694e-01	8.49155694e-01
-2.58000000e-01	8.52055798e+00	1.05027698e+00	1.05027698e+00
-2.00000000e-01	8.20635203e+00	1.10850824e+00	1.10850824e+00
-1.41000000e-01	8.36077295e+00	1.39038619e+00	1.39038619e+00
-8.10000000e-02	1.24239309e+01	1.99004224e+00	1.99004224e+00
-2.70000000e-02	4.39862662e+00	1.00538869e+01	1.00538869e+01
3.40000000e-02	5.77315973e-14	5.77315973e-15	5.77315973e-15
8.70000000e-02	1.06228243e+01	2.89600387e+00	2.89600387e+00
1.47000000e-01	9.86463982e+00	1.47937999e+00	1.47937999e+00
2.00000000e-01	8.97936999e+00	1.22921453e+00	1.22921453e+00
2.58000000e-01	9.20222864e+00	1.13545330e+00	1.13545330e+00
3.14000000e-01	8.85706965e+00	1.25298063e+00	1.25298063e+00
3.69000000e-01	7.95171643e+00	1.07785009e+00	1.07785009e+00
4.27000000e-01	6.08274682e+00	1.08022104e+00	1.08022104e+00
4.81000000e-01	1.17146759e+01	1.29469655e+00	1.29469655e+00
5.32000000e-01	1.18016777e+01	1.09193181e+00	1.09193181e+00
5.88000000e-01	9.89926476e+00	1.10568275e+00	1.10568275e+00
6.37000000e-01	1.46726497e+01	1.32010794e+00	1.32010794e+00
6.92000000e-01	1.48228330e+01	1.37984746e+00	1.37984746e+00
