# H(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-6.89000000e-01	1.15012969e+01	1.60838801e+00	1.60838801e+00
-6.25000000e-01	1.49663398e+01	2.27863430e+00	2.27863430e+00
-5.61000000e-01	3.04656502e+01	1.20954491e+00	1.20954491e+00
-4.97000000e-01	3.76707550e+01	2.24216259e+00	2.24216259e+00
-4.38000000e-01	3.69335857e+01	2.25188021e+00	2.25188021e+00
-3.75000000e-01	3.30367562e+01	1.88743790e+00	1.88743790e+00
-3.20000000e-01	2.39700311e+01	1.30828137e+00	1.30828137e+00
-2.58000000e-01	1.99694629e+01	1.59248228e+00	1.59248228e+00
-2.00000000e-01	1.64950347e+01	1.53824182e+00	1.53824182e+00
-1.41000000e-01	1.23940731e+01	1.53761607e+00	1.53761607e+00
-8.10000000e-02	1.23781673e+01	1.70992033e+00	1.70992033e+00
-2.70000000e-02	1.87635983e+01	5.49007067e+00	5.49007067e+00
3.40000000e-02	1.96951958e+01	1.96951958e+00	1.96951958e+00
8.70000000e-02	1.50553639e+01	2.77457896e+00	2.77457896e+00
1.47000000e-01	8.93093423e+00	2.05344285e+00	2.05344285e+00
2.00000000e-01	1.42597541e+01	1.70980091e+00	1.70980091e+00
2.58000000e-01	2.03947459e+01	1.53553958e+00	1.53553958e+00
3.14000000e-01	2.28901224e+01	1.70596166e+00	1.70596166e+00
3.69000000e-01	2.77473606e+01	1.59279042e+00	1.59279042e+00
4.27000000e-01	2.65875261e+01	1.67018610e+00	1.67018610e+00
4.81000000e-01	2.94759397e+01	1.78477131e+00	1.78477131e+00
5.32000000e-01	2.43525904e+01	1.63965834e+00	1.63965834e+00
5.88000000e-01	2.58955074e+01	1.72506017e+00	1.72506017e+00
6.37000000e-01	1.81673872e+01	1.94654517e+00	1.94654517e+00
6.92000000e-01	1.76469756e+01	1.97789684e+00	1.97789684e+00
