# H(r.l.u.)	Center(meV)	Stderr(meV)
-6.92391652e-01	3.66740081e+01	3.66433793e+00
-6.28678464e-01	4.65007532e+01	3.64977965e+00
-5.63680675e-01	4.05635475e+01	3.45731317e+00
-4.99503385e-01	4.07125117e+01	5.66978406e+00
-4.40148236e-01	4.66678782e+01	3.47040566e+00
-3.76740377e-01	4.24587934e+01	3.39918920e+00
-3.22253689e-01	4.58800564e+01	2.90397408e+00
-2.59397745e-01	4.67220119e+01	4.01441187e+00
-2.01125515e-01	4.86253121e+01	3.37662273e+00
-1.41613280e-01	5.93354260e+01	1.52859392e+00
-8.12279522e-02	7.79818573e+01	1.48039838e+00
-2.71200261e-02	8.21325619e+01	1.81002063e+00
3.38961600e-02	8.12758782e+01	2.24447335e+00
8.79690082e-02	7.21507915e+01	1.74066885e+00
1.48275632e-01	5.45230742e+01	3.91950514e+00
2.01125515e-01	4.72705194e+01	5.93761018e+00
2.59397745e-01	4.68400406e+01	4.03089871e+00
3.16070701e-01	5.08540042e+01	4.28141912e+00
3.70794976e-01	3.79169475e+01	5.71561826e+00
4.28904336e-01	4.66714057e+01	4.04880303e+00
4.83749474e-01	4.79985142e+01	3.78725829e+00
5.34912988e-01	3.95618011e+01	1.75708031e+00
5.90903353e-01	3.96036858e+01	4.19536129e+00
6.40419658e-01	4.38557940e+01	4.43653851e+00
6.95443933e-01	3.94267891e+01	3.09267109e+00
