# H(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-6.89000000e-01	4.34627919e+00	4.25457311e-01	4.25457311e-01
-6.25000000e-01	5.76811372e+00	6.10066949e-01	6.10066949e-01
-5.61000000e-01	3.95799658e+00	4.59955178e-01	4.59955178e-01
-4.97000000e-01	5.18811492e+00	6.94698564e-01	6.94698564e-01
-4.38000000e-01	5.18197534e+00	7.44070530e-01	7.44070530e-01
-3.75000000e-01	6.45838620e+00	6.57295144e-01	6.57295144e-01
-3.20000000e-01	6.41659118e+00	8.58775214e-01	8.58775214e-01
-2.58000000e-01	8.22829303e+00	8.80020479e-01	8.80020479e-01
-2.00000000e-01	7.76614132e+00	1.08944075e+00	1.08944075e+00
-1.41000000e-01	9.43302843e+00	1.36224269e+00	1.36224269e+00
-8.10000000e-02	2.56367856e+01	1.45577104e+00	1.45577104e+00
-2.70000000e-02	3.96462133e+01	3.04795510e+00	3.04795510e+00
3.40000000e-02	3.12710662e+01	3.34760599e+00	3.34760599e+00
8.70000000e-02	2.46330662e+01	1.45732067e+00	1.45732067e+00
1.47000000e-01	1.05220701e+01	1.65504873e+00	1.65504873e+00
2.00000000e-01	8.29062061e+00	1.14165889e+00	1.14165889e+00
2.58000000e-01	9.07369133e+00	1.14730237e+00	1.14730237e+00
3.14000000e-01	8.30210324e+00	1.13761590e+00	1.13761590e+00
3.69000000e-01	7.73512869e+00	1.01716832e+00	1.01716832e+00
4.27000000e-01	6.16939228e+00	9.39876185e-01	9.39876185e-01
4.81000000e-01	1.14045740e+01	1.30971736e+00	1.30971736e+00
5.32000000e-01	1.17891300e+01	1.12282404e+00	1.12282404e+00
5.88000000e-01	9.79722608e+00	1.10476351e+00	1.10476351e+00
6.37000000e-01	1.54182265e+01	1.44564267e+00	1.44564267e+00
6.92000000e-01	1.54281661e+01	1.55099770e+00	1.55099770e+00
