# H(r.l.u.)	Amplitude(a.u.)	ConfInt_low(a.u.)	ConfInt_high(a.u.)
-6.89000000e-01	1.55827592e+01	1.69609019e+00	1.69609019e+00
-6.25000000e-01	1.69245943e+01	3.13940992e+00	3.13940992e+00
-5.61000000e-01	2.45838398e+01	1.27654104e+00	1.27654104e+00
-4.97000000e-01	2.36064339e+01	2.74691938e+00	2.74691938e+00
-4.38000000e-01	2.66912012e+01	1.77696693e+00	1.77696693e+00
-3.75000000e-01	2.45394200e+01	1.58999270e+00	1.58999270e+00
-3.20000000e-01	2.40081416e+01	1.73401924e+00	1.73401924e+00
-2.58000000e-01	1.57578282e+01	1.95752774e+00	1.95752774e+00
-2.00000000e-01	1.53522414e+01	1.61312427e+00	1.61312427e+00
-1.41000000e-01	1.31972723e+01	5.48874555e-01	5.48874555e-01
-8.10000000e-02	6.89220621e+00	5.52364586e-01	5.52364586e-01
-2.70000000e-02	3.49456268e+00	9.95320739e-01	9.95320739e-01
3.40000000e-02	5.41552428e+00	1.15453188e+00	1.15453188e+00
8.70000000e-02	8.19062056e+00	5.91883482e-01	5.91883482e-01
1.47000000e-01	1.16318080e+01	6.50856800e-01	6.50856800e-01
2.00000000e-01	1.17746133e+01	2.01677799e+00	2.01677799e+00
2.58000000e-01	1.99518995e+01	1.71232225e+00	1.71232225e+00
3.14000000e-01	2.10177358e+01	1.79618719e+00	1.79618719e+00
3.69000000e-01	2.58989934e+01	1.98350520e+00	1.98350520e+00
4.27000000e-01	2.35608569e+01	1.86018272e+00	1.86018272e+00
4.81000000e-01	2.89334366e+01	1.93884390e+00	1.93884390e+00
5.32000000e-01	2.42777435e+01	2.10630447e+00	2.10630447e+00
5.88000000e-01	2.49654598e+01	2.39035099e+00	2.39035099e+00
6.37000000e-01	1.97243316e+01	2.16074648e+00	2.16074648e+00
6.92000000e-01	1.85461517e+01	2.24924178e+00	2.24924178e+00
